Geopoint;Geoshape;Alcaldía;Sector 18;Área km2;x;y
19.4559485754, -99.1339187632;"{""type"": ""Polygon"", ""coordinates"": [[[-99.13739031215657, 19.459475890504873], [-99.13610682665013, 19.459316801264308], [-99.13301335437978, 19.458154772766314], [-99.12886452576605, 19.456680559600056], [-99.12774720871525, 19.456255133017226], [-99.12937314659239, 19.453621754488452], [-99.13012598318991, 19.45230894373807], [-99.13058102339309, 19.45234295989457], [-99.13073713144183, 19.45241108196931], [-99.13183705775833, 19.452560130591095], [-99.1380076741669, 19.45404621566483], [-99.13774507569975, 19.455478436161048], [-99.13994780004167, 19.459615102990544], [-99.1397129803847, 19.45965378459767], [-99.13739031215657, 19.459475890504873]]]}";CUAUHTEMOC;TLATELOLCO;0.5990306784457329;-99.133437;19.455969
19.4489311584, -99.1492549723;"{""type"": ""Polygon"", ""coordinates"": [[[-99.1529078538138, 19.44567757088096], [-99.1522950587999, 19.449210013904104], [-99.15165457517722, 19.452500718823398], [-99.15152254464337, 19.453337537631484], [-99.14947099487316, 19.452945016456248], [-99.14539794877136, 19.45174794256255], [-99.14597843084445, 19.44940418542713], [-99.14643722413467, 19.44736165994741], [-99.14709907332836, 19.444638972596742], [-99.15009997529152, 19.445175522405915], [-99.1529078538138, 19.44567757088096]]]}";CUAUHTEMOC;BUENAVISTA;0.542690783546259;-99.149153;19.448988
19.4466167038, -99.1372059309;"{""type"": ""Polygon"", ""coordinates"": [[[-99.13881950030766, 19.44330999682203], [-99.13881973541646, 19.443586550076], [-99.13894223767083, 19.444023428785933], [-99.13808687191064, 19.4492359374368], [-99.13452698482486, 19.447533923442954], [-99.13623792794826, 19.445739026290518], [-99.13732997743092, 19.444725981337246], [-99.13881950030766, 19.44330999682203]]]}";CUAUHTEMOC;BUENAVISTA;0.139905743744232;-99.136628;19.446343
19.4345863188, -99.1559474685;"{""type"": ""Polygon"", ""coordinates"": [[[-99.15873467102001, 19.43157828486956], [-99.15680977996954, 19.43584430528213], [-99.15536799526775, 19.439139965711345], [-99.1530549270142, 19.438135945617763], [-99.15385645755394, 19.436004450354112], [-99.15489960371657, 19.436143647338387], [-99.15515689120491, 19.43492632095149], [-99.15417831431273, 19.434760770843422], [-99.15440765701887, 19.433201934397214], [-99.15446224112951, 19.43239626740735], [-99.15913942742644, 19.430211882125977], [-99.15923899570433, 19.430431953200152], [-99.15901802054196, 19.431043005057127], [-99.15885806657234, 19.4316150507386], [-99.15873467102001, 19.43157828486956]]]}";CUAUHTEMOC;REVOLUCION;0.263672736187772;-99.156147;19.434677
19.4287224255, -99.1566989128;"{""type"": ""Polygon"", ""coordinates"": [[[-99.15446224112951, 19.43239626740735], [-99.1540739429939, 19.431665447433378], [-99.15382420636045, 19.431192897078155], [-99.15512234124606, 19.427732882806904], [-99.15630062437086, 19.4246058202249], [-99.15626357049753, 19.424406661045094], [-99.15699905608676, 19.42423602734785], [-99.15760901185297, 19.425367019822833], [-99.15808998183348, 19.426282211638828], [-99.1590539883879, 19.428066045089167], [-99.15984497474187, 19.4297949857642], [-99.15958295940486, 19.430029021598447], [-99.15923899570433, 19.430431953200152], [-99.15913942742644, 19.430211882125977], [-99.15446224112951, 19.43239626740735]]]}";CUAUHTEMOC;REVOLUCION;0.29461204588531503;-99.156832;19.428314999999998
19.4325490226, -99.1480653468;"{""type"": ""Polygon"", ""coordinates"": [[[-99.1494121736524, 19.434786899278528], [-99.14549288787845, 19.43426878874279], [-99.14632929448281, 19.43035831575173], [-99.15097295077443, 19.431005047142275], [-99.14941102325429, 19.43477894705012], [-99.1494121736524, 19.434786899278528]]]}";CUAUHTEMOC;REVOLUCION;0.200049517254038;-99.14823299999999;19.432568
19.4350900825, -99.1443161852;"{""type"": ""Polygon"", ""coordinates"": [[[-99.14022029967991, 19.43545064158077], [-99.14053587235563, 19.433537206279613], [-99.14549288787845, 19.43426878874279], [-99.1494121736524, 19.434786899278528], [-99.1463823239834, 19.436705089295643], [-99.14283848693117, 19.43592976711035], [-99.14022029967991, 19.43545064158077]]]}";CUAUHTEMOC;REVOLUCION;0.18870130644679603;-99.144826;19.435126999999998
19.4218507778, -99.1737281884;"{""type"": ""Polygon"", ""coordinates"": [[[-99.17134195709944, 19.42441194787571], [-99.16995518581064, 19.421606592140254], [-99.1699539460557, 19.42114702596449], [-99.17131454390008, 19.420886094301355], [-99.17381697710523, 19.420406073782672], [-99.17710394000896, 19.419798004639656], [-99.17740918329285, 19.42037738507658], [-99.17729430368631, 19.42133829551822], [-99.17740855900404, 19.422786566100758], [-99.175437050766, 19.42247396940961], [-99.17134195709944, 19.42441194787571]]]}";CUAUHTEMOC;ANGEL-ZONA ROSA;0.23275694051359103;-99.173683;19.422106
19.4282190806, -99.1706347738;"{""type"": ""Polygon"", ""coordinates"": [[[-99.17309391500879, 19.428587782070462], [-99.17343799684856, 19.428780950783114], [-99.17186710835374, 19.43140021342253], [-99.17085473820475, 19.4330744078496], [-99.1694717342288, 19.43029164225266], [-99.16740004728558, 19.42627196881805], [-99.17134195709944, 19.42441194787571], [-99.17306351462945, 19.427765470934915], [-99.17298768677023, 19.42803179378444], [-99.17298521254156, 19.428214086507037], [-99.1730247710317, 19.42841956605475], [-99.17309391500879, 19.428587782070462]]]}";CUAUHTEMOC;ANGEL-ZONA ROSA;0.31167036147055105;-99.170247;19.427352
19.4345812545, -99.1664121834;"{""type"": ""Polygon"", ""coordinates"": [[[-99.17021902362347, 19.434124733199614], [-99.16932983728555, 19.43556662496883], [-99.1684740276715, 19.436873006290618], [-99.16756779611156, 19.43667944455561], [-99.16610018052394, 19.436475186194038], [-99.16611971919565, 19.436297758416302], [-99.16392801105893, 19.435886005694012], [-99.16448696435062, 19.433860966110753], [-99.1633860260927, 19.433555040320993], [-99.16229244943662, 19.433080005930993], [-99.16286131846297, 19.432104148152106], [-99.16461908030064, 19.43262250126736], [-99.17021902362347, 19.434124733199614]]]}";CUAUHTEMOC;ANGEL-ZONA ROSA;0.222908170537462;-99.16454;19.433957
